ID,map.update,long,lat,reference,doi,event.start,event.end
GTM_168,2018,-80.793457,35.639441,"Berdanier, Aaron B., and James S. Clark. ""Multiyear drought?induced morbidity preceding tree death in southeastern US forests."" Ecological Applications 26.1 (2016): 17-23.",https://doi.org/10.1890/15-0274,2000,2002
GTM_169,2018,-120.498047,37.370157,"Asner, Gregory P., et al. ""Progressive forest canopy water loss during the 2012–2015 California drought."" Proceedings of the National Academy of Sciences 113.2 (2016): E249-E255.",https://doi.org/10.1073/pnas.1523397113,2012,2015
GTM_170,2018,-84.034,10.303,"Feeley, Kenneth J., et al. ""Compositional shifts in Costa Rican forests due to climate?driven species migrations."" Global change biology 19.11 (2013): 3472-3480.",https://doi.org/10.1111/gcb.12300,2003,2010
GTM_171,2018,-75.01667,5.833333,"Duque, Alvaro, Pablo R. Stevenson, and Kenneth J. Feeley. ""Thermophilization of adult and juvenile tree communities in the northern tropical Andes."" Proceedings of the National Academy of Sciences 112.34 (2015): 10744-10749.",https://doi.org/10.1073/pnas.1506570112,2006,2014
GTM_172,2018,-71.55,-41.76667,"Amoroso, Mariano M., et al. ""Does drought incite tree decline and death in Austrocedrus chilensis forests?."" Journal of vegetation science 26.6 (2015): 1171-1183.",https://doi.org/10.1111/jvs.12320,1943,2000
GTM_173,2018,-120.036621,39.0917,"Van Gunst, K. Jane, et al. ""Do denser forests have greater risk of tree mortality: A remote sensing analysis of density-dependent forest mortality."" Forest Ecology and Management 359 (2016): 19-32.",https://doi.org/10.1016/j.foreco.2015.09.032,1985,"1995, 2009"
GTM_174,2018,-107.116699,38.873929,"Reich, Robin M., John E. Lundquist, and Kristina Hughes. ""Host-environment mismatches associated with subalpine fir decline in Colorado."" Journal of forestry research 27.5 (2016): 1177-1189.",https://doi.org/10.1007/s11676-016-0234-1,1994,2009
GTM_175,2018,-99.602051,30.722949,"Schwantes, Amanda M., Jennifer J. Swenson, and Robert B. Jackson. ""Quantifying drought-induced tree mortality in the open canopy woodlands of central Texas."" Remote Sensing of Environment 181 (2016): 54-64.",https://doi.org/10.1016/j.rse.2016.03.027,2010,2011
GTM_176,2018,-109.072266,41.046217,"Assal, Timothy J., Patrick J. Anderson, and Jason Sibold. ""Spatial and temporal trends of drought effects in a heterogeneous semi-arid forest ecosystem."" Forest Ecology and Management 365 (2016): 137-151.",https://doi.org/10.1016/j.foreco.2016.01.017,2000,ongoing
GTM_177,2018,-98.7890625,31.72816715,"Moore, Georgianne W., et al. ""Tree mortality from an exceptional drought spanning mesic to semiarid ecoregions."" Ecological Applications 26.2 (2016): 602-611.",https://doi.org/10.1890/15-0330.1,2011,2011
GTM_178,2018,-67.23632813,-5.87833211,"Feldpausch, T. R., et al. ""Amazon forest response to repeated droughts."" Global Biogeochemical Cycles 30.7 (2016): 964-982.",https://doi.org/10.1002/2015GB005133,2005,2015
GTM_179,2018,-109,37,"Bradford, John B., and David M. Bell. ""A window of opportunity for climate?change adaptation: easing tree mortality by reducing forest basal area."" Frontiers in Ecology and the Environment 15.1 (2017): 11-17.",https://doi.org/10.1002/fee.1445,1995,2012
GTM_180,2018,-117.108765,32.748013,"Freeman, Mary Pyott, Douglas A. Stow, and Li An. ""Patterns of mortality in a montane mixed?conifer forest in San Diego County, California."" Ecological Applications (2017).",https://doi.org/10.1002/eap.1601,1975,"1977, 1991, 2004"
GTM_181,2018,113.730469,3.601142,"Harrison, Rhett D. ""Drought and the consequences of El Nino in Borneo: a case study of figs."" Population Ecology 43.1 (2001): 63-75.",https://doi.org/10.1007/PL00012017,1997,1998
GTM_182,2018,175.814209,-37.53151,"Jane, G. T., and T. G. A. Green. ""Episodic forest mortality in the Kaimai ranges, north island, New Zealand."" New Zealand journal of botany 21.1 (1983): 21-31.",https://doi.org/10.1080/0028825X.1983.10428521,1914,"1914, 1946"
GTM_183,2018,105.996094,51.590723,"Kharuk, Viacheslav I., et al. ""Climate-induced mortality of Siberian pine and fir in the Lake Baikal Watershed, Siberia."" Forest Ecology and Management 384 (2017): 191-199.",https://doi.org/10.1016/j.foreco.2016.10.050,1985,"1985, 2003"
GTM_184,2018,-92.2,38.7441,"Wood, Jeffrey, et al. ""The importance of drought-pathogen interactions in driving oak mortality events in the Ozark Border Region."" Environmental Research Letters (2017).",https://doi.org/10.1088/1748-9326/aa94fa,2012,2012
GTM_185,2018,-120.673828,38.959409,"Young, Derek JN, et al. ""Long?term climate and competition explain forest mortality patterns under extreme drought."" Ecology letters 20.1 (2017): 78-86.",https://doi.org/10.1111/ele.12711,2012,2015
GTM_186,2018,-118.476562,36.527295,"Paz?Kagan, Tarin, et al. ""What mediates tree mortality during drought in the southern Sierra Nevada?."" Ecological Applications 27.8 (2017): 2443-2457.",https://doi.org/10.6084/m9.figshare.5281273.v1,2012,2016
GTM_187,2018,-120.9375,38.272689,"Malone, Sparkle L. ""Monitoring Changes in Water Use Efficiency to Understand Drought Induced Tree Mortality."" Forests 8.10 (2017): 365.",https://doi.org/10.3390/f8100365,2012,2016
GTM_188,2018,-120.19043,38.444985,"Brodrick, P. G., and G. P. Asner. ""Remotely sensed predictors of conifer tree mortality during severe drought."" Environmental Research Letters 12.11 (2017): 115013.",https://doi.org/10.1088/1748-9326/aa8f55,2012,2016
GTM_189,2018,-118.927002,37.142803,"Byer, Sarah, and Yufang Jin. ""Detecting Drought-Induced Tree Mortality in Sierra Nevada Forests with Time Series of Satellite Data."" Remote Sensing 9.9 (2017): 929.",https://doi.org/10.3390/rs9090929,2012,2016
GTM_190,2018,-121.333008,39.842286,"Moore, Jeffrey, et al. ""2016 Aerial Survey Results: California."" United States Department of Agriculture.",,2010,2016
GTM_191,2018,-93.14209,36.791691,"Lee, Christopher A., et al. ""Tree architecture as a predictor of growth and mortality after an episode of red oak decline in the Ozark Highlands of Missouri, USA."" Canadian Journal of Forest Research 44.9 (2014): 1005-1012.",https://doi.org/10.1139/cjfr-2014-0067,2002,2009
GTM_192,2018,118.740234,45.243953,"Xu, Chongyang, et al. ""Enhanced sprout-regeneration offsets warming-induced forest mortality through shortening the generation time in semiarid birch forest."" Forest Ecology and Management 409 (2018): 298-306.",https://doi.org/10.1016/j.foreco.2017.11.035,2000,2010
